6,Bafa,hut,,3
6,dawa,leaf,,3
6,folo,sun,,3
6,genda,morning,,3
6,gbale,hurt,,3
6,haku,tortoise,,3
6,loli,dance,,3
6,maana,plantain,,3
6,mba,rice,,3
6,ngali,thorn,,3
6,nyani,spoil,,3
6,sani,bottle,,3
6,p_l_,house,,3
6,t__,fowl,,3
6,vonu,last year,,3
6,kali,hoe,,3
6,kpate,make,,3
6,jaka,male lizard,,3
6,navo,money,,3
6,wala,wooden state,,3
6,ndamba,crocodile,,3
6,nja,water,,3
6,_ama,blood,,3
6,yabasi,onion,,3
6,ndili,housefly,,3
6,tewe,cut,,3
6,m_h_,food,,3
6,paa,kill,,3
6,h_l_,sew,,3
6,tolo,kolanut,,3
6,bulu,horn,,3
6,paa,kill,,2
6,kpaa,farm,,2
6,L__lu,five,,2
6,puu,ten,,2
6,fajii,the bucket,,2
7,Kpale,pain,,2
7,Ndovo,frog,,2
7,Ngoto,waist,,2
7,Gbembe,board,,2
7,Ny_k_,sugar cane,,2
7,_oni,Bird,,2
7,_ama,Blood,,2
7,Polo_,Far,,2
7,Gbu_,Heavy falling sound,,2
7,Ita,One,,2
7,Fele,Two,,2
7,Sawa,Three,,2
7,Naani,Four,,2
7,L__lu,Five,,2
7,Weita,Six,,2
7,W_fla,Seven,,2
7,Wayakpa,Eight,,2
7,Taalu,Nine,,2
7,Puu,Ten,,2
7,Puu mahun yila,Eleven,,2
7,Numu gb_y_ng_,Twenty,,2
7,Numu gb_y_ng_ mahun puu,Thirty,,2
7,Numu fele gb_y_ng_,Forty,,2
7,Numu fele gb_y_ng_ mahun puu,Fifty,,2
7,Numu sawa gb_y_ng_,Sixty,,2
7,Numu sawa gb_y_ng_ mahun puu,Seventy,,2
7,Numu naani gb_y_ng_,Eighty,,2
7,Numu naani gb_y_ng_ mahun puu,Ninety,,2
7,H_nd_ yila,One hundred,,2
7,Tausi yila,One thousand,,2
8,Haala,first,,2
8,Yeso,first,,2
8,Senti yila ve mb_,Give me one cent,,2
8,Haala Pisk_ l_,This is the first Peace Corps,,2
8,Nya yeso ngi wani,I came first,,2
8,Yengila wu bagihun,Put one of them in the bag,,2
8,Yengila b_ ii nya yeya,I don't have anyone,,2
8,Yakpe mia nya yeya,I have only one,,2
9,Ndé,say it,,2
9,Hélé,elephant,,2
9,Lá,lie down,,2
9,B__l__,hat/cap,,2
9,Mbùlù,intestine,,2
9,Hè,blessing,,2
9,Tèí,The fowl/chicken,,2
9,Ngùí,The head,,2
9,S__lèí,The banana,,2
9,Ngíì,I not,,2
9,H__nd____ ,Book,,2
9,Búkúì`,Book,,2
9,Ndòli,Hook,,2
9,Kálì,Hoe,,2
9,Mbówó,Clay,,2
9,Ndóli,Dance,,2
9,Kàli,Snake,,2
9,Mbòw,To fly,,2
9,B____ lí?,Won't you go?,,2
9,B____ li,You can't go.,,2
9,Máá biá miá mù limá.,We are going together,,2
9,Máá bíà míà mú límá?,Are we going together?,,2
10,"Ndiam_, buwaa","Hello, friend",,2
10,"Mm, buwaa, bi si_",Hello,,2
10,Gb__ bi ngahun?,How are you?,,2
10,"Kaye ii Ngew_ ma, _ biab__?","I'm well, and you?",,2
10,Nya b__ kaye ii Ngew_ ma,I'm well too,,2
10,K_ mal_ b_ma,See you again,,2
10,E-ye mal_ hoe,O.k. we shall see,,2
10,Kahuin ye na?,How are you?,,2
10,Nya ngahun gbuang_,I'm well,,2
10,__ bi waa,Hello (answering a greeting),,2
10,"Mm, k_ ta mia",O.k. we shall see,,2
12,Ngenda t_tei,Early morning,,2
12,Ngendei,Morning,,2
12,Folihun,Afternoon,,2
12,Kp_k_ voe,Evening,,2
12,Fitiima,Twilight,,2
12,Kpindi,Night,,2
12,Ngewohuin,Dawn,,2
12,Buwaa,Have you come,Hello/good morning,3
12,Bia na,Are you there,Good afternon,3
12,Buuvaa,Did you spend the day,Good evening,3
12,Mu kp_k_,Good night,Good night,3
12,Mua l__ sina,We see tomorrow,See you tomorrow,3
12,Ndiam_,Friend,,2
12,Ng_,Elder brother/sister,,2
12,Ndake,Male contemporary,,2
12,Nyande,Male/female contemporary,,2
12,Nyapoi,Lady,,2
12,Maada,Grandfather / Paramount Chief,,2
12,Mama,Grandmother,,2
12,K_k_,Father,,2
12,Yie,Mother,,2
12,Kenya,Uncle,,2
12,Kinii,Youngman,,2
12,Mahei,Chief,,2
12,Nd_ Mahei,Paramount Chief,,2
13,K_nt_ buaa,Hello Conteh,,2
13,"Mm, buaa bi si_",Hello,,2
13,Ndaké nya longo bi mahei ye p__la g_ a nge,I want you to show me the chief's house,,2
13,Mahei ye p__la l_ s_m__ gblanga t__ I ya j_siama,"The Chief's house is by the Court Barrie, but I understand he has gone for a walk",,2
13,Bi k_l_ mia i ya na?,Do you know where he is gone to?,,2
13,Ngii k__. K_leke bi fo ngi ye p__la bi m_li bia vuii.,"I don't know, except you go to his house and ask for yourself",,2
13,A wuwaa bindo,Hello here,,
13,Mm m_i bi waa,Hello,,
13,Mahei ye p__la l_?,Is this the chief's house?,,
13,__ i wa sange gb_ ngi ngi loi,"Yes, he has come, let me call him",,
14,Mahei buwaa,Hello chief,,
14,"Mm ndiam_ bi waa bi si_, mu g_woo","Hello friend, have seat",,
14,"Mahei, ngi waa l_ k_ mua bie mu g__ma","Chief, I have come to get myself acquainted with you",,
14,Bi lei?,What's your name?,,
14,Nya laa,My name is,,
14,Pisk_ mia a nge,I am a Peace Corps Volunteer,,
14,Bi gbua mil_?,Where are you coming from?,,
14,Ngi gbua Am_ika l_ nya longo ngi hei bi lei jihun k_ mua weni mu yaa kpaa yengei we,I'm coming from America.I want to stay in your village so that we can farm together,,
14,Na nyandegoi. Nga piel_ nya bondeisia ti mag_,That's good. I'll let my people know about it,,
14,Mahei fama loo woo gbe bi va,"Chief, here is a small gift for you",,
14,"Ee, m_i bi si_, Ngew_ I ndo nya n_mahun","O.k. thank you youngman, let me live to remember it through God's will",,
14,K_ ngi ya l_ p__la,Then I'm going home,,
14,E-ye mua gbla,O.k. see you,,
15,Kele,Elephant,,
15,P_l_,House,,
15,Ndopo,Child,,
15,Sani,Bottle,,
15,Bulu,Horn,,
15,B_l_,Hat,,
15,Helei,The Elephant,,
15,P_l_i,house,,
15,Ndopoi,child,,
15,Sanii,bottle,,
15,Bului,horn,,
15,B_l_i,hat,,
15,Mba,Rice,,
15,Haa,Death,,
15,Mbei,The rice,,
15,Haei,The death,,
15,M_m_,Mirror,,
15,Ndola,Baby,,
15,Ka_a,Box,,
15,M_m__,The mirror,,
15,Ndolaa,The baby,,
15,Ka_aa,The box,,
15,Maha,Chief,,
15,Ndili,Housefly,,
15,Hele,Elephant,,
15,Ndopo,Child,,
15,Mahangaa,Chiefs,,
15,Ndilingaa,Houseflies,,
15,Helengaa,Elephants,,
15,Ndopongaa,Children,,
15,Mahangeisia,The chiefs,,
15,Ndiligeisia,The houseflies,,
15,Helengeisia,The elephants,,
15,Ndopoisia,The children,,
15,Maheisia,The chiefs,,
15,Ndilisia,The houseflies,,
15,Heleisia,The elephants,,
16,Sualeni,Swaray and others,,
16,Isani,Issa and others,,
16,D_ktani ti ya Sal_n,Doctor and others have gone to Freetown,,
16,Wuani we luwa,People like you don't fear,,
16,Tiani te naga,People like them cannot prosper,,
16,Wuanisia we m_h_ yana,That is not food for people like you,,
16,Muanisia mue jia goi,People like us don't offend others,,
16,Ngenge,Work,,
16,M_,Eat,,
16,Pie,Do,,
16,Ngengem_,Worker,,
16,M_m_,Eater,,
16,Piem_,Doer,,
16,Ngengem_i,The worker,,
16,M_moi,The eater,,
16,Piemoi,The doer,,
16,Ngengeblaa,Workers,,
16,M_blaa,Eaters,,
16,Pieblaa,Doers,,
16,Ngengebleisia,The workers,,
16,M_bleisia,The eaters,,
16,Piebleisia,The doers,,
16,Ngengem_i waa m_h_ yiimoi gama,The worker has come to the cook.,,
16,P__ loblaa l_ mia,The house builders are there,,
16,Ti humableisia hounga,The have caught the thieves,,
17,Nya,I,,
17,Bia,You,,
17,Ta,He/she/it,,
17,Mua,We,,
17,Wua,You,,
17,Tia,They,,
17,ngii,I not,,
17,bii,You not,,
17,ii,He/she/it not,,
17,mui,We not,,
17,wui,You not,,
17,tii,They not,,
17,Nya lima Bo,I am going to Bo,,
17,Bia lima Bo,You are going to Bo,,
17,Ta lima Bo,He/she is going to Bo,,
17,Mua lima Bo,We are going to Bo,,
17,Wua lima Bo,You are going to Bo,,
17,Tia lima Bo,They are going to Bo,,
17,Ngii lima Bo,I'm not going to Bo,,
17,Bii lima Bo,You are not going to Bo,,
17,Ii lima Bo,He is not going to Bo,,
